Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
mcousdt,MCO/USDT,MCO,USDT,False,Spot,,,1.0
mdsusdt,MDS/USDT,MDS,USDT,True,Spot,,,1.0
mdxusdt,MDX/USDT,MDX,USDT,True,Spot,,,1.0
mesausdt,MESA/USDT,MESA,USDT,True,Spot,,,1.0
mggusdt,MGG/USDT,MGG,USDT,True,Spot,,,1.0
mirusdt,MIR/USDT,MIR,USDT,True,Spot,,,1.0
mkrusdt,MKR/USDT,MKR,USDT,True,Spot,,,1.0
mlnusdt,MLN/USDT,MLN,USDT,True,Spot,,,1.0
monousdt,MONO/USDT,MONO,USDT,True,Spot,,,1.0
moovusdt,MOOV/USDT,MOOV,USDT,True,Spot,,,1.0
movrusdt,MOVR/USDT,MOVR,USDT,True,Spot,,,1.0
mplusdt,MPL/USDT,MPL,USDT,True,Spot,,,1.0
mtausdt,MTA/USDT,MTA,USDT,True,Spot,,,1.0
muusdt,MU/USDT,MU,USDT,True,Spot,,,1.0
multiusdt,MULTI/USDT,MULTI,USDT,True,Spot,,,1.0
mxusdt,MX/USDT,MX,USDT,True,Spot,,,1.0
mxcusdt,MXC/USDT,MXC,USDT,True,Spot,,,1.0
nanousdt,NANO/USDT,NANO,USDT,True,Spot,,,1.0
nasusdt,NAS/USDT,NAS,USDT,True,Spot,,,1.0
nbsusdt,NBS/USDT,NBS,USDT,True,Spot,,,1.0
nctusdt,NCT/USDT,NCT,USDT,True,Spot,,,1.0
nearusdt,NEAR/USDT,NEAR,USDT,True,Spot,Margin,,1.0
neousdt,NEO/USDT,NEO,USDT,True,Spot,Margin,,1.0
nestusdt,NEST/USDT,NEST,USDT,True,Spot,Margin,,1.0
newusdt,NEW/USDT,NEW,USDT,True,Spot,,,1.0
nexousdt,NEXO/USDT,NEXO,USDT,True,Spot,,,1.0
nftusdt,NFT/USDT,NFT,USDT,True,Spot,,,1.0
nglusdt,NGL/USDT,NGL,USDT,True,Spot,,,1.0
nhbtcusdt,NHBTC/USDT,NHBTC,USDT,True,Spot,,,1.0
nknusdt,NKN/USDT,NKN,USDT,True,Spot,,,1.0
nodeusdt,NODE/USDT,NODE,USDT,True,Spot,,,1.0
noiausdt,NOIA/USDT,NOIA,USDT,True,Spot,,,1.0
nptusdt,NPT/USDT,NPT,USDT,True,Spot,,,1.0
nsureusdt,NSURE/USDT,NSURE,USDT,True,Spot,,,1.0
ntusdt,NT/USDT,NT,USDT,True,Spot,,,1.0
nuusdt,NU/USDT,NU,USDT,False,Spot,,,1.0
nulsusdt,NULS/USDT,NULS,USDT,True,Spot,,,1.0
numusdt,NUM/USDT,NUM,USDT,True,Spot,,,1.0
nymusdt,NYM/USDT,NYM,USDT,True,Spot,Margin,,1.0
o3usdt,O3/USDT,O3,USDT,True,Spot,,,1.0
oceanusdt,OCEAN/USDT,OCEAN,USDT,True,Spot,Margin,,1.0
ocnusdt,OCN/USDT,OCN,USDT,True,Spot,,,1.0
octusdt,OCT/USDT,OCT,USDT,True,Spot,,,1.0
ognusdt,OGN/USDT,OGN,USDT,True,Spot,,,1.0
ogousdt,OGO/USDT,OGO,USDT,True,Spot,,,1.0
olandusdt,OLAND/USDT,OLAND,USDT,True,Spot,,,1.0
omgusdt,OMG/USDT,OMG,USDT,True,Spot,Margin,,1.0
oneusdt,ONE/USDT,ONE,USDT,True,Spot,Margin,,1.0
