Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
LDN-USDT,LDN/USDT,LDN,USDT,True,Spot,,,1.0
LEASH-USDT,LEASH/USDT,LEASH,USDT,True,Spot,,,1.0
LEO-USDT,LEO/USDT,LEO,USDT,True,Spot,,,1.0
LET-USDT,LET/USDT,LET,USDT,True,Spot,,,1.0
LINK-USDT,LINK/USDT,LINK,USDT,True,Spot,Margin,,1.0
LITH-USDT,LITH/USDT,LITH,USDT,True,Spot,,,1.0
LMCH-USDT,LMCH/USDT,LMCH,USDT,True,Spot,,,1.0
LON-USDT,LON/USDT,LON,USDT,True,Spot,Margin,,1.0
LOOKS-USDT,LOOKS/USDT,LOOKS,USDT,True,Spot,Margin,,1.0
LOON-USDT,LOON/USDT,LOON,USDT,True,Spot,,,1.0
LPT-USDT,LPT/USDT,LPT,USDT,True,Spot,Margin,,1.0
LRC-USDT,LRC/USDT,LRC,USDT,True,Spot,Margin,,1.0
LSK-USDT,LSK/USDT,LSK,USDT,True,Spot,,,1.0
LTC-USDT,LTC/USDT,LTC,USDT,True,Spot,Margin,,1.0
LUNA-USDT,LUNA/USDT,LUNA,USDT,True,Spot,Margin,,1.0
LUNC-USDT,LUNC/USDT,LUNC,USDT,True,Spot,,,1.0
MAGIC-USDT,MAGIC/USDT,MAGIC,USDT,True,Spot,,,1.0
MANA-USDT,MANA/USDT,MANA,USDT,True,Spot,Margin,,1.0
MASK-USDT,MASK/USDT,MASK,USDT,True,Spot,Margin,,1.0
MATIC-USDT,MATIC/USDT,MATIC,USDT,True,Spot,Margin,,1.0
MCO-USDT,MCO/USDT,MCO,USDT,True,Spot,,,1.0
MDA-USDT,MDA/USDT,MDA,USDT,True,Spot,,,1.0
MDT-USDT,MDT/USDT,MDT,USDT,True,Spot,,,1.0
MEME-USDT,MEME/USDT,MEME,USDT,True,Spot,,,1.0
METIS-USDT,METIS/USDT,METIS,USDT,True,Spot,,,1.0
MINA-USDT,MINA/USDT,MINA,USDT,True,Spot,Margin,,1.0
MIR-USDT,MIR/USDT,MIR,USDT,True,Spot,,,1.0
MITH-USDT,MITH/USDT,MITH,USDT,True,Spot,,,1.0
MKR-USDT,MKR/USDT,MKR,USDT,True,Spot,Margin,,1.0
MLN-USDT,MLN/USDT,MLN,USDT,True,Spot,,,1.0
MOF-USDT,MOF/USDT,MOF,USDT,True,Spot,,,1.0
MON-USDT,MON/USDT,MON,USDT,True,Spot,,,1.0
MOVEZ-USDT,MOVEZ/USDT,MOVEZ,USDT,True,Spot,,,1.0
MOVR-USDT,MOVR/USDT,MOVR,USDT,True,Spot,,,1.0
MXC-USDT,MXC/USDT,MXC,USDT,True,Spot,,,1.0
MXT-USDT,MXT/USDT,MXT,USDT,True,Spot,,,1.0
NAS-USDT,NAS/USDT,NAS,USDT,True,Spot,Margin,,1.0
NDN-USDT,NDN/USDT,NDN,USDT,True,Spot,,,1.0
